Rank,Major,Degree Type,Early Career Pay,Mid Career Pay
133,Aviation Management,Bachelor's,"$43,900 ","$87,900 "
134,German Language,Bachelor's,"$43,900 ","$87,700 "
135 (tie),Biochemistry (BCH),Bachelor's,"$44,500 ","$87,600 "
135 (tie),Industrial Engineering Technology,Bachelor's,"$58,400 ","$87,600 "
137 (tie),Finance & Banking,Bachelor's,"$51,400 ","$87,400 "
137 (tie),Logistics & Supply Chain Management,Bachelor's,"$52,500 ","$87,400 "
139,Industrial Design (ID),Bachelor's,"$49,000 ","$87,200 "
140 (tie),Electronics Engineering Technology (EET),Bachelor's,"$58,700 ","$87,100 "
140 (tie),Food Science & Technology,Bachelor's,"$46,900 ","$87,100 "
140 (tie),Risk Management & Insurance,Bachelor's,"$53,600 ","$87,100 "
143,Engineering Technology (ET),Bachelor's,"$52,600 ","$86,700 "
144,Industrial Technology (IT),Bachelor's,"$54,600 ","$86,600 "
145 (tie),French Literature,Bachelor's,"$41,200 ","$86,500 "
145 (tie),Public Policy Analysis,Bachelor's,"$48,700 ","$86,500 "
147 (tie),Agribusiness,Bachelor's,"$45,700 ","$86,400 "
147 (tie),Product Design,Bachelor's,"$50,600 ","$86,400 "
149 (tie),Information Technology (IT),Bachelor's,"$52,300 ","$86,300 "
149 (tie),Marketing & Management,Bachelor's,"$44,900 ","$86,300 "
151,Technical Communication,Bachelor's,"$43,900 ","$86,200 "
152,International Relations,Bachelor's,"$46,400 ","$86,100 "
153,Russian Language,Bachelor's,"$48,700 ","$85,700 "
154,Sales & Marketing,Bachelor's,"$47,300 ","$85,600 "
155,Business Communication,Bachelor's,"$43,900 ","$85,500 "
156,Manufacturing Engineering Technology,Bachelor's,"$58,700 ","$85,200 "
157 (tie),Occupational Therapy (OT),Bachelor's,"$53,500 ","$85,100 "
157 (tie),Philosophy,Bachelor's,"$44,800 ","$85,100 "
159 (tie),Aviation,Bachelor's,"$50,700 ","$84,900 "
159 (tie),Marketing,Bachelor's,"$45,200 ","$84,900 "
161,Networks & Telecommunications,Bachelor's,"$46,100 ","$84,600 "
162 (tie),Advertising,Bachelor's,"$41,800 ","$84,200 "
162 (tie),Radiation Therapy,Bachelor's,"$61,800 ","$84,200 "
164 (tie),Business Management & Marketing,Bachelor's,"$44,000 ","$84,000 "
164 (tie),Transportation & Logistics Management,Bachelor's,"$49,100 ","$84,000 "
166,Marketing & Communications,Bachelor's,"$43,300 ","$83,900 "
167,Geology,Bachelor's,"$45,400 ","$83,800 "
168 (tie),Civil Engineering Technology (CET),Bachelor's,"$51,300 ","$83,700 "
168 (tie),Classics,Bachelor's,"$42,000 ","$83,700 "
168 (tie),European History,Bachelor's,"$45,700 ","$83,700 "
168 (tie),Marketing Management,Bachelor's,"$45,700 ","$83,700 "
168 (tie),Telecommunications,Bachelor's,"$41,500 ","$83,700 "
173,History & Politics,Bachelor's,"$42,800 ","$83,600 "
174 (tie),Insurance,Bachelor's,"$47,300 ","$83,500 "
174 (tie),Marketing Communication,Bachelor's,"$40,800 ","$83,500 "
176,Architecture,Bachelor's,"$45,200 ","$83,100 "
